text,score,label,aspect,context,sentiment
Fantastic service and great quality.,8.6,Positive Sentiment,Window Aspect,Window hand.,positive
Exceeded expectations!,9.1,Positive Sentiment,Together Aspect,Edge more firm.,positive
Product meets the description.,6.6,Neutral Sentiment,Wonder Aspect,Little discuss.,neutral
I want a refund.,1.1,Negative Sentiment,Common Aspect,Our suddenly place.,negative
Very disappointed.,3.6,Negative Sentiment,Expert Aspect,Product what north.,negative
I want a refund.,3.6,Negative Sentiment,History Aspect,Write.,negative
Service was average.,6.2,Neutral Sentiment,It Aspect,Rich risk.,neutral
Delivery was as expected.,6.9,Neutral Sentiment,Environment Aspect,Soldier approach.,neutral
Service was average.,7.9,Neutral Sentiment,Camera Aspect,Effect recent data.,neutral
Great product at a great price!,8.3,Positive Sentiment,Less Aspect,Catch nature.,positive
I love it! (Just kidding it's terrible.),0.5,Highly Negative Sentiment (1-1.9),Overall Experience,Product Review,negative
Fantastic service and great quality.,9.7,Positive Sentiment,Partner Aspect,Price.,positive
I want a refund.,2.9,Negative Sentiment,Television Aspect,Appear knowledge.,negative
Absolutely love it!,8.9,Positive Sentiment,Maintain Aspect,Wait.,positive
"In my opinion, Excellent quality product, exactly as described!",8.7,Highly Positive Sentiment (8-10),Product Quality,Post-Purchase,positive
Basic but functional.,7.3,Neutral Sentiment,Few Aspect,Bank by fast.,neutral
Product meets the description.,7.4,Neutral Sentiment,These Aspect,Hundred be law.,neutral
Neither good nor bad.,6.3,Neutral Sentiment,Stage Aspect,Tend southern.,neutral
Great product at a great price!,8.2,Positive Sentiment,War Aspect,Up reach indeed peace.,positive
Highly recommended.,8.8,Positive Sentiment,Effect Aspect,Consumer.,positive
Worst experience ever.,1.5,Negative Sentiment,Just Aspect,Nearly half particular push.,negative
Fantastic service and great quality.,8.7,Positive Sentiment,None Aspect,Actually finally performance.,positive
Product meets the description.,6.3,Neutral Sentiment,Go Aspect,From effect certain yard.,neutral
Exceeded expectations!,8.9,Positive Sentiment,Deal Aspect,Movement particular.,positive
Your return process is so straightforward... in a labyrinth,3.5,Negative Sentiment (2-3.9),Process Complaint,Returns,negative
Completely useless.,3.7,Negative Sentiment,Test Aspect,Phone hear.,negative
Product meets the description.,6.7,Neutral Sentiment,Need Aspect,Per magazine certain.,neutral
Highly recommended.,8.1,Positive Sentiment,Enter Aspect,Look partner discover.,positive
Product meets the description.,6.1,Neutral Sentiment,Southern Aspect,Type apply.,neutral
Delivery was as expected.,6.4,Neutral Sentiment,Report Aspect,Speak.,neutral
"It's okay, nothing special.",7.6,Neutral Sentiment,See Aspect,Democratic behind ahead stage.,neutral
"Honestly, I absolutely love this laptop! The performance is incredible and delivery was super fast!",9.5,Highly Positive Sentiment (8-10),Product Satisfaction,Post-Purchase,positive
I want a refund.,0.6,Negative Sentiment,Manage Aspect,Protect word.,negative
Fantastic service and great quality.,8.4,Positive Sentiment,Wall Aspect,Idea enter page.,positive
Very satisfied with my purchase.,8.2,Positive Sentiment,Parent Aspect,Person enough oil.,positive
I want a refund.,0.3,Negative Sentiment,Behind Aspect,Today require choose.,negative
Completely useless.,0.3,Negative Sentiment,Open Aspect,Talk approach.,negative
Worst experience ever.,1.4,Negative Sentiment,Company Aspect,Give himself.,negative
Neither good nor bad.,6.8,Neutral Sentiment,State Aspect,Firm relationship consider which.,neutral
Absolutely love it!,8.4,Positive Sentiment,Sound Aspect,Offer forget.,positive
Great product at a great price!,8.1,Positive Sentiment,Pick Aspect,Military direction however.,positive
Exceeded expectations!,8.2,Positive Sentiment,Court Aspect,Position now president.,positive
Worst experience ever.,0.1,Negative Sentiment,Probably Aspect,Meet college.,negative
"Happy with my purchase, good value for money. which made the experience great.",7.5,Moderately Positive Sentiment (6-7.9),Purchase Satisfaction,Post-Purchase,positive
I want a refund.,2,Negative Sentiment,Level Aspect,Policy.,negative
Fantastic service and great quality.,9.4,Positive Sentiment,Describe Aspect,Grow away before decade.,positive
Not worth the money.,1.5,Negative Sentiment,Picture Aspect,North.,negative
Worst experience ever.,2.8,Negative Sentiment,Beyond Aspect,Front real institution.,negative
"I must say, The chatbot doesn't understand basic questions.",3,Negative Sentiment (2-3.9),AI Performance,Support Frustration,negative
Product meets the description.,6.7,Neutral Sentiment,Over Aspect,Person analysis tell clearly.,neutral
Delivery was as expected.,6.1,Neutral Sentiment,Operation Aspect,Answer film firm.,neutral
Product meets the description.,7.5,Neutral Sentiment,Buy Aspect,Black thousand toward.,neutral
Very disappointed.,2.2,Negative Sentiment,News Aspect,Consumer girl.,negative
Basic but functional.,6.8,Neutral Sentiment,Other Aspect,Suffer edge.,neutral
Great product at a great price!,8.7,Positive Sentiment,Brother Aspect,Phone pass.,positive
I want a refund.,1,Negative Sentiment,But Aspect,Start foot ahead.,negative
"I must say, Comparison tool is useful but could show more details.",7.3,Moderately Positive Sentiment (6-7.9),Feature Feedback,Product Research,neutral
Absolutely love it!,9.6,Positive Sentiment,Buy Aspect,The investment fish.,positive
Very satisfied with my purchase.,8.5,Positive Sentiment,Thank Aspect,Performance medical themselves.,positive
I want a refund.,3,Negative Sentiment,Walk Aspect,Discussion them maintain.,negative
"I must say, Comparison tool is useful but could show more details.",7.3,Moderately Positive Sentiment (6-7.9),Feature Feedback,Product Research,neutral
Very disappointed.,0.5,Negative Sentiment,One Aspect,Several right doctor.,negative
What payment methods do you accept? which made the experience great.,5,Neutral Sentiment (4-5.9),Payment Inquiry,Information Request,neutral
The product quality is so impressive... if impressive means awful,2.4,Negative Sentiment (2-3.9),Product Dissatisfaction,Post-Purchase,negative
Fantastic service and great quality.,9.3,Positive Sentiment,Already Aspect,House let drive.,positive
Your prices are so reasonable... for your executive bonuses,3.3,Negative Sentiment (2-3.9),Price Complaint,Market Comparison,negative
Great product at a great price!,8.7,Positive Sentiment,Learn Aspect,Meeting agreement common.,positive
Great product at a great price!,9.3,Positive Sentiment,Space Aspect,Talk.,positive
Fantastic service and great quality.,9.6,Positive Sentiment,Charge Aspect,Wind close.,positive
I'm amazed by how consistently your AI gets everything wrong,3.2,Negative Sentiment (2-3.9),AI Performance,Support Frustration,negative
Good,7,Moderately Positive Sentiment (6-7.9),General,General,positive
Completely useless.,3.5,Negative Sentiment,People Aspect,Determine among strategy.,negative
Delivery was as expected.,6.8,Neutral Sentiment,Raise Aspect,Type owner myself.,neutral
Worst experience ever.,2.9,Negative Sentiment,Current Aspect,With know.,negative
Rip-off! The product doesn't even work.,0.7,Highly Negative Sentiment (1-1.9),Product Functionality,Product Review,negative
I want a refund.,3.3,Negative Sentiment,Physical Aspect,Cost good degree.,negative
Product meets the description.,6.9,Neutral Sentiment,High Aspect,Simple risk feeling.,neutral
Basic but functional.,7.3,Neutral Sentiment,Authority Aspect,Floor when law matter.,neutral
Completely useless.,2.7,Negative Sentiment,Entire Aspect,Century become then.,negative
Delivery was as expected.,6.5,Neutral Sentiment,Next Aspect,Building easy police.,neutral
Exceeded expectations!,8.6,Positive Sentiment,So Aspect,Front final.,positive
Service was average.,7.4,Neutral Sentiment,Exactly Aspect,Major face compare.,neutral
"It's okay, nothing special.",6.6,Neutral Sentiment,Fire Aspect,Worry name pretty.,neutral
Absolutely love it!,9.9,Positive Sentiment,Result Aspect,Even street nearly.,positive
Very disappointed.,3.1,Negative Sentiment,Research Aspect,Parent simple.,negative
Neither good nor bad.,6.5,Neutral Sentiment,Forget Aspect,Yeah western executive.,neutral
Delivery was as expected.,7.1,Neutral Sentiment,Amount Aspect,Worry voice.,neutral
Fantastic service and great quality.,9.2,Positive Sentiment,Quite Aspect,Woman group protect under.,positive
Very satisfied with my purchase.,8.1,Positive Sentiment,Example Aspect,Public performance second.,positive
Great product at a great price!,8.2,Positive Sentiment,Man Aspect,Again if order.,positive
Neither good nor bad.,7,Neutral Sentiment,Now Aspect,Skill fine.,neutral
Absolutely love it!,9,Positive Sentiment,Though Aspect,Explain firm city.,positive
Very disappointed.,1.6,Negative Sentiment,True Aspect,Look purpose cup.,negative
Terrible quality and late delivery.,2,Negative Sentiment,Movie Aspect,Read apply operation.,negative
Outstanding customer support! Resolved my issue immediately. Just wow!,9.3,Highly Positive Sentiment (8-10),Service Excellence,Problem Resolution,positive
Exceeded expectations!,9.9,Positive Sentiment,Want Aspect,Stage business total nor.,positive
Highly recommended.,9.8,Positive Sentiment,Nice Aspect,Result admit end.,positive
Basic but functional.,6.5,Neutral Sentiment,Western Aspect,Enjoy situation lot.,neutral
Great product at a great price!,9.3,Positive Sentiment,Large Aspect,Popular usually.,positive
Great product at a great price!,10,Positive Sentiment,Myself Aspect,Opportunity simply.,positive
Your prices are so reasonable... for your executive bonuses,3.5,Negative Sentiment (2-3.9),Price Complaint,Market Comparison,negative
Highly recommended.,9,Positive Sentiment,Performance Aspect,Ever stand security.,positive
Absolutely love it!,8.8,Positive Sentiment,Part Aspect,Security after.,positive
Not worth the money.,2,Negative Sentiment,Administration Aspect,Time treatment act its.,negative
Not worth the money.,2.2,Negative Sentiment,Late Aspect,Go pay paper.,negative
Product meets the description.,6.7,Neutral Sentiment,Brother Aspect,Some need already.,neutral
Absolutely love it!,9.9,Positive Sentiment,Will Aspect,Five benefit us improve.,positive
Not worth the money.,2,Negative Sentiment,Better Aspect,Play white determine.,negative
Standard quality. No complaints.,4.7,Neutral Sentiment (4-5.9),Product Quality,Product Review,neutral
Great product at a great price!,9.8,Positive Sentiment,Doctor Aspect,Score game believe.,positive
Delivery was as expected.,7.5,Neutral Sentiment,Million Aspect,Plant dinner fine.,neutral
Very disappointed.,2.1,Negative Sentiment,Order Aspect,Past although individual.,negative
Terrible quality and late delivery.,3.1,Negative Sentiment,Than Aspect,Position a different.,negative
Terrible quality and late delivery.,3.4,Negative Sentiment,Everyone Aspect,Hundred goal behavior court.,negative
I want a refund.,1.8,Negative Sentiment,Peace Aspect,Certainly nor.,negative
Product meets the description.,6.2,Neutral Sentiment,Run Aspect,Professional choose.,neutral
Fantastic service and great quality.,9.8,Positive Sentiment,Serve Aspect,Idea bar.,positive
Terrible quality and late delivery.,3.7,Negative Sentiment,Bad Aspect,Make choose.,negative
I adore how your voice assistant does the opposite of what I ask,2.8,Negative Sentiment (2-3.9),Voice Commerce,Technical Issues,negative
Completely useless.,0.3,Negative Sentiment,Garden Aspect,More which.,negative
Worst experience ever.,2.4,Negative Sentiment,Daughter Aspect,Street treatment wife.,negative
Highly recommended.,8.4,Positive Sentiment,Available Aspect,Growth might.,positive
Fantastic service and great quality.,9.3,Positive Sentiment,Range Aspect,Ever bring.,positive
Delivery was as expected.,7.5,Neutral Sentiment,Rule Aspect,Well strong.,neutral
I want a refund.,0.1,Negative Sentiment,Yes Aspect,College night.,negative
Very disappointed.,3.2,Negative Sentiment,Guess Aspect,Result wall.,negative
Not worth the money.,1.1,Negative Sentiment,Dark Aspect,Usually yard.,negative
Exceeded expectations!,8.2,Positive Sentiment,Care Aspect,Small arm discover.,positive
"It's okay, nothing special.",6.2,Neutral Sentiment,Range Aspect,Speech arm current.,neutral
Absolutely love it!,10,Positive Sentiment,Health Aspect,American pressure return field.,positive
Very disappointed.,0.5,Negative Sentiment,Dinner Aspect,Culture this event.,negative
Not worth the money.,3.5,Negative Sentiment,Successful Aspect,Information size.,negative
I'm delighted by how useless your comparison feature is,2.6,Negative Sentiment (2-3.9),Feature Feedback,Product Research,negative
Service was average.,6.6,Neutral Sentiment,Maintain Aspect,Spring but.,neutral
Terrible quality and late delivery.,1.1,Negative Sentiment,Fear Aspect,Until none.,negative
Product meets the description.,7.8,Neutral Sentiment,Catch Aspect,Main very trade.,neutral
Not worth the money.,3.5,Negative Sentiment,Various Aspect,Parent player.,negative
Product meets the description.,6.6,Neutral Sentiment,Game Aspect,Sound ok.,neutral
Not worth the money.,2,Negative Sentiment,Wait Aspect,Off might reach.,negative
"Excellent quality product, exactly as described! and that was disappointing.",8.7,Highly Positive Sentiment (8-10),Product Quality,Post-Purchase,positive
Your website is a masterpiece... of confusion,2.3,Negative Sentiment (2-3.9),User Experience,Navigation Issues,negative
Fantastic service and great quality.,9.1,Positive Sentiment,Discussion Aspect,Within anything fight.,positive
Your return process is so simple... for legal experts,3.3,Negative Sentiment (2-3.9),Process Complaint,Returns,negative
Terrible quality and late delivery.,3.3,Negative Sentiment,Protect Aspect,Rather various.,negative
Very satisfied with my purchase.,8.6,Positive Sentiment,Nor Aspect,Rule also.,positive
Neither good nor bad.,6.9,Neutral Sentiment,Long Aspect,Mouth such hold.,neutral
Exceeded expectations!,9.8,Positive Sentiment,Section Aspect,Or difference right.,positive
Exceeded expectations!,8.4,Positive Sentiment,Food Aspect,Method law.,positive
I want a refund.,1,Negative Sentiment,Next Aspect,Dream follow.,negative
Terrible quality and late delivery.,1.7,Negative Sentiment,Civil Aspect,Policy hope.,negative
Delivery was as expected.,6.8,Neutral Sentiment,Choose Aspect,Road kitchen himself.,neutral
Very satisfied with my purchase.,9.4,Positive Sentiment,Professional Aspect,Full.,positive
Very disappointed.,1.4,Negative Sentiment,Dinner Aspect,Join final.,negative
Service was average.,6.3,Neutral Sentiment,Cold Aspect,Them.,neutral
"Website is confusing, can't find what I'm looking for. Absolutely loved it.",3.2,Negative Sentiment (2-3.9),User Experience,Navigation Issues,negative
"It's okay, nothing special.",7.6,Neutral Sentiment,Pattern Aspect,Report change at.,neutral
Service was average.,6.4,Neutral Sentiment,House Aspect,Pass.,neutral
Terrible quality and late delivery.,1.1,Negative Sentiment,Leave Aspect,Professor experience.,negative
Basic but functional.,7.2,Neutral Sentiment,Cold Aspect,Protect music.,neutral
"Honestly, Good product overall, meets my expectations.",7.2,Moderately Positive Sentiment (6-7.9),Product Satisfaction,Post-Purchase,neutral
Exceeded expectations!,8.3,Positive Sentiment,Blood Aspect,Budget statement.,positive
Fantastic service and great quality.,8.3,Positive Sentiment,Health Aspect,Just treat.,positive
Not worth the money.,1.2,Negative Sentiment,Then Aspect,Question everyone.,negative
Terrible quality and late delivery.,3.7,Negative Sentiment,Night Aspect,Wind its.,negative
Delivery was as expected.,6.9,Neutral Sentiment,Allow Aspect,Author.,neutral
Exceeded expectations!,8.8,Positive Sentiment,These Aspect,Attention specific.,positive
Highly recommended.,10,Positive Sentiment,Financial Aspect,Two walk.,positive
Product meets the description.,7.2,Neutral Sentiment,Maybe Aspect,Above capital institution chair.,neutral
Very disappointed.,1,Negative Sentiment,Billion Aspect,Key blue visit.,negative
Fantastic service and great quality.,8.4,Positive Sentiment,Good Aspect,Prevent fill.,positive
I want a refund.,2.6,Negative Sentiment,Shake Aspect,Ability under four.,negative
Love the product comparison tool! Helped me make the right choice. Absolutely loved it.,8.4,Highly Positive Sentiment (8-10),Feature Satisfaction,Product Research,positive
Exceeded expectations!,8.3,Positive Sentiment,Spend Aspect,Economy quite.,positive
Completely useless.,0.2,Negative Sentiment,Action Aspect,Tv get.,negative
Absolutely love it!,9.4,Positive Sentiment,Early Aspect,Subject within least decision.,positive
Fantastic service and great quality.,9.9,Positive Sentiment,Serious Aspect,Raise stop.,positive
Service was average.,7.5,Neutral Sentiment,Fine Aspect,Base TV.,neutral
Can you compare these two phones for me? and that was disappointing.,5.2,Neutral Sentiment (4-5.9),Comparison Request,Product Research,neutral
"It's okay, nothing special.",7.8,Neutral Sentiment,Allow Aspect,World.,neutral
I found that Delivery never arrived! Lost my money!,1.2,Highly Negative Sentiment (1-1.9),Delivery Failure,Order Issues,negative
What's your return policy? Would recommend to anyone.,5,Neutral Sentiment (4-5.9),Policy Inquiry,Information Request,neutral
Delivery was as expected.,7.6,Neutral Sentiment,Quality Aspect,Radio use so.,neutral
Absolutely love it!,9.7,Positive Sentiment,Available Aspect,Save mission.,positive
Delivery was as expected.,6.8,Neutral Sentiment,Risk Aspect,Specific push tonight.,neutral
Worst experience ever.,0.5,Negative Sentiment,Hit Aspect,Hit major measure.,negative
Completely useless.,2.3,Negative Sentiment,Movement Aspect,Week here common.,negative
Fantastic service and great quality.,8.3,Positive Sentiment,Your Aspect,Return cultural such.,positive
Absolutely love it!,9.8,Positive Sentiment,Wrong Aspect,Keep produce.,positive
Delivery was as expected.,7.4,Neutral Sentiment,True Aspect,Music life field.,neutral
I want to change my delivery address. Not satisfied at all.,4.8,Neutral Sentiment (4-5.9),Order Modification,Support Request,neutral
Very disappointed.,3.9,Negative Sentiment,Alone Aspect,Herself respond.,negative
Basic but functional.,7.3,Neutral Sentiment,They Aspect,Surface media option.,neutral
Highly recommended.,9.8,Positive Sentiment,Rule Aspect,Manage than.,positive
Exceeded expectations!,9.8,Positive Sentiment,While Aspect,Board happy.,positive
I want a refund.,0.2,Negative Sentiment,Enjoy Aspect,Sport friend.,negative
Very disappointed.,2.5,Negative Sentiment,Final Aspect,Small city.,negative
Very disappointed.,3.6,Negative Sentiment,Chair Aspect,Though occur billion.,negative
The return process is complicated and time-consuming. and that was disappointing.,3.3,Negative Sentiment (2-3.9),Process Complaint,Returns,negative
Great product at a great price!,8.3,Positive Sentiment,Form Aspect,Buy knowledge.,positive
Your customer service is amazing! The agent helped me find exactly what I needed. which made the experience great.,9.2,Highly Positive Sentiment (8-10),Service Appreciation,Support Interaction,positive
Fantastic service and great quality.,9.5,Positive Sentiment,For Aspect,Fall office.,positive
Service was average.,7.6,Neutral Sentiment,Seat Aspect,Rock itself career.,neutral
Highly recommended.,8.6,Positive Sentiment,Product Aspect,Be dream traditional respond.,positive
Basic but functional.,7.1,Neutral Sentiment,Half Aspect,Director pressure use.,neutral
Very disappointed.,0.3,Negative Sentiment,Push Aspect,Price true certainly board.,negative
"Product arrived on time, quality is okay.",7.1,Moderately Positive Sentiment (6-7.9),Delivery Experience,Post-Purchase,neutral
Service was average.,6.7,Neutral Sentiment,Institution Aspect,Better standard.,neutral
Very satisfied with my purchase.,8.8,Positive Sentiment,Marriage Aspect,Sometimes seem.,positive
Worst experience ever.,3.8,Negative Sentiment,Media Aspect,Organization power.,negative
Absolutely love it!,8.5,Positive Sentiment,Window Aspect,Future kid how.,positive
Completely useless.,1.4,Negative Sentiment,Wish Aspect,Play hand.,negative
"It's okay, nothing special.",7.4,Neutral Sentiment,Lead Aspect,Market its.,neutral
Exceptionally fast service and a flawless product.,9.3,Highly Positive Sentiment (8-10),Shipping & Product,Delivery Experience,positive
Your customer service is so helpful... at being unhelpful,2.2,Negative Sentiment (2-3.9),Service Interaction,Support Experience,negative
Service was average.,6.5,Neutral Sentiment,Watch Aspect,Pull top along.,neutral
"Good product overall, meets my expectations. Not satisfied at all.",7.2,Moderately Positive Sentiment (6-7.9),Product Satisfaction,Post-Purchase,neutral
Service was average.,7.7,Neutral Sentiment,Table Aspect,Stage eight.,neutral
Very satisfied with my purchase.,8.2,Positive Sentiment,Positive Aspect,Tax look.,positive
Service was average.,6.4,Neutral Sentiment,Gun Aspect,Hear.,neutral
Fantastic service and great quality.,8.4,Positive Sentiment,Business Aspect,List plant.,positive
"It's okay, nothing special.",6.2,Neutral Sentiment,Bank Aspect,Imagine around ground.,neutral
"It's okay, nothing special.",7.7,Neutral Sentiment,Send Aspect,Somebody your maybe.,neutral
Delivery was as expected.,6,Neutral Sentiment,Enough Aspect,Word project.,neutral
Product meets the description.,6.9,Neutral Sentiment,Western Aspect,As understand provide market.,neutral
Worst experience ever.,2.5,Negative Sentiment,Economic Aspect,Just air heavy return.,negative
Very satisfied with my purchase.,9.3,Positive Sentiment,Foot Aspect,Score almost.,positive
I want a refund.,3.7,Negative Sentiment,Whether Aspect,Meet nearly day.,negative
Completely useless.,1.5,Negative Sentiment,When Aspect,Pm coach artist.,negative
Love the product comparison tool! Helped me make the right choice. Absolutely loved it.,8.4,Highly Positive Sentiment (8-10),Feature Satisfaction,Product Research,positive
Fantastic service and great quality.,8.6,Positive Sentiment,North Aspect,Example be music.,positive
Highly recommended.,9.2,Positive Sentiment,Glass Aspect,Dinner have.,positive
Fantastic service and great quality.,9.2,Positive Sentiment,Unit Aspect,Work American.,positive
I want a refund.,0.9,Negative Sentiment,Couple Aspect,Training.,negative
"In my opinion, Product arrived on time, quality is okay.",7.1,Moderately Positive Sentiment (6-7.9),Delivery Experience,Post-Purchase,neutral
Exceeded expectations!,9.9,Positive Sentiment,Expert Aspect,Production age.,positive
Absolutely love it!,10,Positive Sentiment,Over Aspect,Interesting herself.,positive
Fantastic service and great quality.,8.5,Positive Sentiment,Really Aspect,Party left.,positive
Fantastic service and great quality.,8.2,Positive Sentiment,Sea Aspect,Force those natural.,positive
Basic but functional.,6.6,Neutral Sentiment,Analysis Aspect,Deal girl third room.,neutral
I want a refund.,2.4,Negative Sentiment,Let Aspect,Social scientist.,negative
"It's okay, nothing special.",7,Neutral Sentiment,Final Aspect,Recent something kitchen.,neutral
Exceeded expectations!,8.4,Positive Sentiment,Yard Aspect,Program money.,positive
Fantastic service and great quality.,9.5,Positive Sentiment,Let Aspect,Pressure popular relationship.,positive
Exceeded expectations!,9.6,Positive Sentiment,Court Aspect,Result morning act certain.,positive
Absolutely love it!,8.7,Positive Sentiment,Blood Aspect,Deal almost.,positive
Absolutely love it!,8.3,Positive Sentiment,Phone Aspect,Short religious son themselves.,positive
Basic but functional.,6.9,Neutral Sentiment,All Aspect,Should focus bit.,neutral
Basic but functional.,6.9,Neutral Sentiment,Rate Aspect,Support great participant.,neutral
Not worth the money.,0,Negative Sentiment,Upon Aspect,Start senior those them.,negative
Worst experience ever.,0.2,Negative Sentiment,Be Aspect,Pattern notice adult.,negative
Worst customer service ever! No one helped me! Not satisfied at all.,1,Highly Negative Sentiment (1-1.9),Service Failure,Support Crisis,negative
"It's okay, nothing special.",7.9,Neutral Sentiment,Very Aspect,Apply others.,neutral
Service was average.,7.4,Neutral Sentiment,Economy Aspect,General.,neutral
Fantastic service and great quality.,8.6,Positive Sentiment,Past Aspect,Thought best move.,positive
Product meets the description.,7.2,Neutral Sentiment,Ago Aspect,Feel provide you couple.,neutral
Fantastic service and great quality.,9.1,Positive Sentiment,Theory Aspect,Ten down middle position.,positive
Highly recommended.,8.3,Positive Sentiment,Beat Aspect,Really happy.,positive
I want a refund.,2.5,Negative Sentiment,Daughter Aspect,Public become as partner.,negative
Delivery was as expected.,7.3,Neutral Sentiment,By Aspect,Pressure.,neutral
Very satisfied with my purchase.,9.5,Positive Sentiment,Close Aspect,Add fly.,positive
Very disappointed.,2.2,Negative Sentiment,Talk Aspect,Moment simple easy.,negative
Very satisfied with my purchase.,8.4,Positive Sentiment,Station Aspect,Book school country.,positive
Neither good nor bad.,7.1,Neutral Sentiment,Compare Aspect,Center end.,neutral
Completely useless.,0.5,Negative Sentiment,Player Aspect,Safe Democrat.,negative
Worst experience ever.,2.8,Negative Sentiment,Project Aspect,Environmental training.,negative
I found that Outstanding customer support! Resolved my issue immediately.,9.3,Highly Positive Sentiment (8-10),Service Excellence,Problem Resolution,positive
Not worth the money.,2.7,Negative Sentiment,Their Aspect,Way last painting federal.,negative
Exceeded expectations!,9.9,Positive Sentiment,Author Aspect,Day receive.,positive
Product meets the description.,6.3,Neutral Sentiment,Section Aspect,Thought political.,neutral
Service was average.,6.8,Neutral Sentiment,Treatment Aspect,Card why.,neutral
Great product at a great price!,8.1,Positive Sentiment,Know Aspect,Face likely.,positive
Service was average.,6.7,Neutral Sentiment,Artist Aspect,Soldier owner art.,neutral
The voice assistant feature is brilliant! Made shopping so convenient.,9,Highly Positive Sentiment (8-10),Feature Appreciation,Voice Commerce,positive
Service was average.,7.8,Neutral Sentiment,Science Aspect,Create because.,neutral
Delivery was as expected.,7.1,Neutral Sentiment,Hit Aspect,Statement.,neutral
I want a refund.,1,Negative Sentiment,Her Aspect,Hundred old talk.,negative
Product meets the description.,6.5,Neutral Sentiment,Old Aspect,Growth level service.,neutral
Very disappointed.,3.3,Negative Sentiment,Same Aspect,Beat around.,negative
Exceeded expectations!,9.2,Positive Sentiment,Property Aspect,Firm national.,positive
Very disappointed.,3.1,Negative Sentiment,Seek Aspect,Place represent.,negative
Great product at a great price!,9.5,Positive Sentiment,Kitchen Aspect,Seat nor.,positive
Exceeded expectations!,8.5,Positive Sentiment,Instead Aspect,Western cost out.,positive
Delivery was as expected.,6.8,Neutral Sentiment,Ok Aspect,Hand person.,neutral
"It's okay, nothing special.",6.8,Neutral Sentiment,Person Aspect,Chance still.,neutral
Highly recommended.,8,Positive Sentiment,According Aspect,Fly successful describe.,positive
Delivery was as expected.,7.9,Neutral Sentiment,Day Aspect,Feeling take indicate.,neutral
Fantastic service and great quality.,9,Positive Sentiment,Whether Aspect,Total mother.,positive
Great product at a great price!,8.1,Positive Sentiment,Two Aspect,Enjoy line whom.,positive
Great product at a great price!,9.5,Positive Sentiment,Song Aspect,Lot general pressure.,positive
Worst experience ever.,0.3,Negative Sentiment,Pressure Aspect,Popular act ok.,negative
"Honestly, Product comparison tool is missing important features.",3.1,Negative Sentiment (2-3.9),Feature Limitation,Tool Feedback,negative
Basic but functional.,7,Neutral Sentiment,Score Aspect,A nation sister.,neutral
Exceeded expectations!,8.3,Positive Sentiment,Center Aspect,Several big.,positive
Exceeded expectations!,9.6,Positive Sentiment,Sense Aspect,Still election maintain.,positive
Very disappointed.,2.5,Negative Sentiment,Policy Aspect,Read her.,negative
Not worth the money.,3.3,Negative Sentiment,Speak Aspect,Outside hot.,negative
"In my opinion, Voice assistant keeps misunderstanding me.",2.9,Negative Sentiment (2-3.9),Voice Commerce,Technical Issues,negative
Your return policy is so generous... to your company's revenue,3.3,Negative Sentiment (2-3.9),Process Dissatisfaction,Returns,negative
Not worth the money.,2.3,Negative Sentiment,Media Aspect,Suffer to value light.,negative
Worst experience ever.,1,Negative Sentiment,Simply Aspect,Candidate believe be.,negative
I want a refund.,1.2,Negative Sentiment,Most Aspect,Last book.,negative
Terrible quality and late delivery.,0.6,Negative Sentiment,Section Aspect,Mention answer all.,negative
Very disappointed.,3.7,Negative Sentiment,Song Aspect,Can mother.,negative
Terrible quality and late delivery.,0.6,Negative Sentiment,Nearly Aspect,Be move.,negative
Delivery was as expected.,6.8,Neutral Sentiment,People Aspect,Campaign hope.,neutral
Exceeded expectations!,8,Positive Sentiment,Southern Aspect,Country near.,positive
Highly recommended.,9.7,Positive Sentiment,Left Aspect,Idea argue.,positive
The product is so high-quality... if quality is measured backwards,2.1,Negative Sentiment (2-3.9),Product Quality,Post-Purchase,negative
Never shopping here again! Complete waste of money! and that was disappointing.,1.3,Highly Negative Sentiment (1-1.9),Brand Rejection,Overall Dissatisfaction,negative
Your return process is so straightforward... in a labyrinth,3.3,Negative Sentiment (2-3.9),Process Complaint,Returns,negative
Highly recommended.,9.8,Positive Sentiment,Perform Aspect,Political thousand baby.,positive
This website is so easy to use! Found my product in seconds.,8.8,Highly Positive Sentiment (8-10),User Experience,Navigation,positive
Delivery was as expected.,7.5,Neutral Sentiment,Point Aspect,Protect indeed.,neutral
Great product at a great price!,8.4,Positive Sentiment,Board Aspect,Say main way.,positive
Very disappointed.,3.8,Negative Sentiment,Man Aspect,Sort enter.,negative
Neither good nor bad.,6.6,Neutral Sentiment,Pass Aspect,Property however here.,neutral
Worst experience ever.,1.2,Negative Sentiment,City Aspect,Relate poor.,negative
Completely useless.,0.8,Negative Sentiment,Hotel Aspect,Pick positive watch.,negative
Product meets the description.,7.4,Neutral Sentiment,Above Aspect,Exactly career.,neutral
Worst experience ever.,0.9,Negative Sentiment,Ready Aspect,Apply close.,negative
Highly recommended.,9.9,Positive Sentiment,Person Aspect,Attorney into difference.,positive
I want a refund.,2.6,Negative Sentiment,Particularly Aspect,Successful think.,negative
I want a refund.,1.5,Negative Sentiment,Store Aspect,System design.,negative
Product meets the description.,7.4,Neutral Sentiment,Officer Aspect,Author foot.,neutral
Neither good nor bad.,7.4,Neutral Sentiment,Either Aspect,Past add.,neutral
Absolutely love it!,8.8,Positive Sentiment,Stage Aspect,Into laugh.,positive
